0.64,0.58,0.48,0.5,0.48,0.78,0.73,4
0.54,0.57,0.48,0.5,0.5600000000000001,0.8100000000000001,0.83,4
0.47,0.59,0.48,0.5,0.52,0.76,0.79,4
0.63,0.5,0.48,0.5,0.59,0.85,0.86,4
0.49,0.42,0.48,0.5,0.53,0.79,0.8100000000000001,4
0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
0.74,0.44,0.48,0.5,0.55,0.88,0.89,4
0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
0.45,0.4,0.48,0.5,0.61,0.74,0.77,4
0.71,0.4,0.48,0.5,0.71,0.7,0.74,4
0.5,0.37,0.48,0.5,0.66,0.64,0.6899999999999999,4
0.66,0.53,0.48,0.5,0.59,0.66,0.66,4
0.6,0.61,0.48,0.5,0.54,0.67,0.71,4
0.83,0.37,0.48,0.5,0.61,0.71,0.74,4
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.63,0.54,0.48,0.5,0.65,0.79,0.8100000000000001,4
0.7,0.4,0.48,0.5,0.5600000000000001,0.86,0.83,4
0.6,0.5,1,0.5,0.54,0.77,0.8,7
0.16,0.51,0.48,0.5,0.33,0.39,0.48,8
0.74,0.7,0.48,0.5,0.66,0.65,0.6899999999999999,4
0.2,0.46,0.48,0.5,0.57,0.78,0.8100000000000001,2
0.89,0.55,0.48,0.5,0.51,0.72,0.76,4
0.7,0.46,0.48,0.5,0.5600000000000001,0.78,0.73,4
0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
0.61,0.52,0.48,0.5,0.54,0.67,0.52,1
0.33,0.37,0.48,0.5,0.46,0.65,0.6899999999999999,4
0.63,0.65,0.48,0.5,0.66,0.67,0.71,4
0.41,0.51,0.48,0.5,0.53,0.75,0.78,4
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.58,0.34,0.48,0.5,0.5600000000000001,0.87,0.8100000000000001,4
0.59,0.5600000000000001,0.48,0.5,0.55,0.8,0.82,4
0.51,0.4,0.48,0.5,0.57,0.62,0.67,4
0.5,0.57,0.48,0.5,0.71,0.61,0.66,3
0.6,0.46,0.48,0.5,0.45,0.8100000000000001,0.83,4
0.37,0.47,0.48,0.5,0.39,0.76,0.79,4
0.58,0.55,0.48,0.5,0.57,0.7,0.74,4
0.36,0.47,0.48,0.5,0.51,0.6899999999999999,0.72,4
0.39,0.41,0.48,0.5,0.52,0.72,0.75,4
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.61,0.66,0.48,0.5,0.46,0.87,0.88,4
0.48,0.49,0.48,0.5,0.52,0.77,0.71,4
0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
0.31,0.36,0.48,0.5,0.58,0.9399999999999999,0.9399999999999999,2
0.68,0.51,0.48,0.5,0.71,0.75,0.78,4
0.6899999999999999,0.39,0.48,0.5,0.57,0.76,0.79,4
0.52,0.54,0.48,0.5,0.62,0.76,0.79,4
0.46,0.59,0.48,0.5,0.36,0.76,0.23,1
0.36,0.45,0.48,0.5,0.38,0.79,0.17,1
0,0.51,0.48,0.5,0.35,0.67,0.44,8
0.1,0.49,0.48,0.5,0.41,0.67,0.21,8
0.3,0.51,0.48,0.5,0.42,0.61,0.34,8
0.61,0.47,0.48,0.5,0,0.8,0.32,8
0.63,0.75,0.48,0.5,0.64,0.73,0.66,3
0.71,0.52,0.48,0.5,0.64,1,0.99,7
0.85,0.53,0.48,0.5,0.53,0.52,0.35,1
0.63,0.49,0.48,0.5,0.54,0.76,0.79,4
0.75,0.55,1,1,0.4,0.47,0.3,1
0.7,0.39,1,0.5,0.51,0.82,0.84,7
0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
0.79,0.41,0.48,0.5,0.66,0.8100000000000001,0.83,4
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.6899999999999999,0.43,0.48,0.5,0.59,0.74,0.77,4
0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
0.8100000000000001,0.44,0.48,0.5,0.42,0.67,0.68,4
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.62,0.42,0.48,0.5,0.58,0.79,0.8100000000000001,4
0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
0.8100000000000001,0.53,0.48,0.5,0.57,0.87,0.88,4
0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.7,0.53,0.48,0.5,0.7,0.86,0.87,7
0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
0.8100000000000001,0.52,0.48,0.5,0.57,0.78,0.8,4
0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
0.49,0.61,1,0.5,0.5600000000000001,0.71,0.74,4
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.84,0.54,0.48,0.5,0.75,0.92,0.7,7
0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
0.86,0.55,0.48,0.5,0.63,0.8100000000000001,0.83,4
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.57,0.38,0.48,0.5,0.06,0.49,0.33,8
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.78,0.68,0.48,0.5,0.83,0.4,0.29,3
0.63,0.6899999999999999,0.48,0.5,0.65,0.41,0.28,3
0.67,0.88,0.48,0.5,0.73,0.5,0.25,3
0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
0.67,0.84,0.48,0.5,0.74,0.54,0.37,3
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.73,0.84,0.48,0.5,0.86,0.58,0.29,3
0.75,0.76,0.48,0.5,0.83,0.57,0.3,3
0.77,0.57,0.48,0.5,0.88,0.53,0.2,1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,3
0.68,0.76,0.48,0.5,0.84,0.45,0.27,3
0.5600000000000001,0.68,0.48,0.5,0.77,0.36,0.45,3
0.65,0.51,0.48,0.5,0.66,0.54,0.33,1
0.52,0.8100000000000001,0.48,0.5,0.72,0.38,0.38,3
0.64,0.57,0.48,0.5,0.7,0.33,0.26,3
0.6,0.76,1,0.5,0.77,0.59,0.52,7
0.6899999999999999,0.59,0.48,0.5,0.77,0.39,0.21,3
0.63,0.49,0.48,0.5,0.79,0.45,0.28,1
0.71,0.71,0.48,0.5,0.68,0.43,0.36,3
0.68,0.63,0.48,0.5,0.73,0.4,0.3,3
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.66,0.49,1,0.5,0.54,0.5600000000000001,0.36,1
0.71,0.46,1,0.5,0.52,0.59,0.3,1
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.68,0.49,1,0.5,0.62,0.55,0.28,6
0.74,0.49,0.48,0.5,0.42,0.54,0.36,1
0.7,0.61,0.48,0.5,0.5600000000000001,0.52,0.43,1
0.66,0.86,0.48,0.5,0.34,0.41,0.36,5
0.73,0.78,0.48,0.5,0.58,0.51,0.31,3
0.65,0.57,0.48,0.5,0.47,0.47,0.51,4
0.72,0.86,0.48,0.5,0.17,0.55,0.21,5
0.67,0.7,0.48,0.5,0.46,0.45,0.33,5
0.67,0.8100000000000001,0.48,0.5,0.54,0.49,0.23,5
0.67,0.61,0.48,0.5,0.51,0.37,0.38,8
0.63,1,0.48,0.5,0.35,0.51,0.49,5
0.57,0.59,0.48,0.5,0.39,0.47,0.33,8
0.71,0.71,0.48,0.5,0.4,0.54,0.39,5
0.66,0.74,0.48,0.5,0.31,0.38,0.43,5
0.67,0.8100000000000001,0.48,0.5,0.25,0.42,0.25,5
0.64,0.72,0.48,0.5,0.49,0.42,0.19,5
0.68,0.82,0.48,0.5,0.38,0.65,0.5600000000000001,5
0.32,0.39,0.48,0.5,0.53,0.28,0.38,8
0.7,0.64,0.48,0.5,0.47,0.51,0.47,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,1
0.74,0.82,0.48,0.5,0.49,0.49,0.41,5
0.63,0.86,0.48,0.5,0.39,0.47,0.34,5
0.63,0.83,0.48,0.5,0.4,0.39,0.19,5
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.71,0.86,0.48,0.5,0.4,0.54,0.32,5
0.68,0.78,0.48,0.5,0.43,0.44,0.42,5
0.64,0.84,0.48,0.5,0.37,0.45,0.4,5
0.74,0.47,0.48,0.5,0.5,0.57,0.42,1
0.75,0.84,0.48,0.5,0.35,0.52,0.33,5
0.63,0.65,0.48,0.5,0.39,0.44,0.35,5
0.6899999999999999,0.67,0.48,0.5,0.3,0.39,0.24,5
0.7,0.71,0.48,0.5,0.42,0.84,0.85,4
0.6899999999999999,0.8,0.48,0.5,0.46,0.57,0.26,5
0.64,0.66,0.48,0.5,0.41,0.39,0.2,5
0.63,0.8,0.48,0.5,0.46,0.31,0.29,5
0.66,0.71,0.48,0.5,0.41,0.5,0.35,5
0.6899999999999999,0.59,0.48,0.5,0.46,0.44,0.52,4
0.68,0.67,0.48,0.5,0.49,0.4,0.34,5
0.64,0.78,0.48,0.5,0.5,0.36,0.38,5
0.62,0.78,0.48,0.5,0.47,0.49,0.54,3
0.76,0.73,0.48,0.5,0.44,0.39,0.39,5
0.64,0.8100000000000001,0.48,0.5,0.37,0.39,0.44,5
0.29,0.39,0.48,0.5,0.52,0.4,0.48,8
0.62,0.83,0.48,0.5,0.46,0.36,0.4,5
0.5600000000000001,0.54,0.48,0.5,0.43,0.37,0.3,8
0.6899999999999999,0.66,0.48,0.5,0.41,0.5,0.25,5
0.6899999999999999,0.65,0.48,0.5,0.63,0.48,0.41,3
0.43,0.59,0.48,0.5,0.52,0.49,0.5600000000000001,4
0.74,0.5600000000000001,0.48,0.5,0.47,0.68,0.3,1
0.71,0.57,0.48,0.5,0.48,0.35,0.32,8
0.61,0.6,0.48,0.5,0.44,0.39,0.38,8
0.59,0.61,0.48,0.5,0.42,0.42,0.37,8
0.74,0.74,0.48,0.5,0.31,0.53,0.52,5
